feature,importance
DemandMax_100_log1p,130.26542754945103
EoD_Bestand_noSiBe,99.0499843107128
DemandMean_100_log1p,94.10716341036921
EoD_Bestand_noSiBe_log1p,56.65918612148208
DemandMean_50_log1p,53.4163053004234
DemandMax_25_log1p,49.10942476452433
DemandMax_50_log1p,41.430554766261466
DemandMax_66_log1p,39.38280998405533
Lag_EoD_Bestand_noSiBe_wbzTage,37.65863365423663
DeficitPos_log1p,26.651149950686317
Lag_EoD_Bestand_noSiBe_7Tage,21.824250933629152
DemandMean_25_log1p,21.621455978238874
DemandMean_66_log1p,17.591582364983402
Lag_EoD_Bestand_noSiBe_2xwbzTage,10.264939356351807
Lag_EoD_Bestand_noSiBe_28Tage,8.792637602445154
