feature,importance
DemandMax_100_log1p,0.20235985968564005
Lag_EoD_Bestand_noSiBe_7Tage,0.07522508800029755
EoD_Bestand_noSiBe,0.01802312151805783
Lag_EoD_Bestand_noSiBe_mean_28Tage,0.0
Lag_EoD_Bestand_noSiBe_28Tage,0.0
DemandMean_50_log1p,0.0
DemandMax_50_log1p,0.0
DemandMax_25_log1p,0.0
DemandMean_25_log1p,0.0
DeficitPos_log1p,0.0
DemandMax_66_log1p,0.0
DemandMean_100_log1p,0.0
DemandMean_66_log1p,0.0
Price_Material_var,0.0
EoD_Bestand_noSiBe_log1p,0.0
WBZ_Days,0.0
Lag_EoD_Bestand_noSiBe_mean_7Tage,-0.025296919571386755
