"Firma";"Teil ";"Var ";"HBA";"Origin_Obj";"ML_Lagergruppe_Obj";"Jahr/KW";"Termin";"Solltermin";"BABf";"Ref_Demand_Obj";"BADk";"Ref_Coverage_Obj";"ML_Ort_Obj";"Stre";"S_Kostenstelle_Obj";"Chargennummer ";"Bedarfsmenge";"Deckungsmenge";"Document_Obj";"S_Lieferant_Obj";"S_Artikel_Obj";"MMT_MRPAccount_Obj";"Source_Obj";"disp Struk";"SubRefObj";"MMM_CusRefOrder_Obj";"KommNr";"FKom"
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee014771324e40e83";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/40";01.10.2025;01.10.2025;"VUA";"PA1096:z:9c99ed62f3046390d414d1df0cbc909e";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee01477137c34e482";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee01477132cd24583";"PA0775:z:8745b5191c50dbbee014771324e40e83";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee0147713343ac17e";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/39";24.09.2025;24.09.2025;"VUA";"PA1096:z:89539b78689a06aac514220424f22ae2";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee01477139c2a1f7d";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee01477133036fb7e";"PA0775:z:8745b5191c50dbbee0147713343ac17e";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee0147713d0dfd37f";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/40";30.09.2025;30.09.2025;"VUA";"PA1096:z:89539b78689a06aac5142304a4f9b231";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee01477137c36a97f";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee01477130cdd0d80";"PA0775:z:8745b5191c50dbbee0147713d0dfd37f";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee0147713dc6be080";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/41";07.10.2025;07.10.2025;"VUA";"PA1096:z:89539b78689a06aac514230474b3c77e";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee0147713f4c1b880";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee014771360671a81";"PA0775:z:8745b5191c50dbbee0147713dc6be080";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee0147713f8e8e681";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/41";10.10.2025;10.10.2025;"VUA";"PA1096:z:89539b78689a06aac5142304a8bf42af";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee0147713e03cbf81";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee0147713d0d41d82";"PA0775:z:8745b5191c50dbbee0147713f8e8e681";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee014951300cb8945";"PA0819::958b368b987d32b4e1112cc68091c183";"2026/19";07.05.2026;07.05.2026;"VUA";"PA1096:z:f075b4d6c1258898dc14bc2dfc2a8d26";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee0149513e81e6245";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee0149513ccc4c345";"PA0775:z:8745b5191c50dbbee014951300cb8945";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee014951308654b41";"PA0819::958b368b987d32b4e1112cc68091c183";"2026/16";16.04.2026;16.04.2026;"VUA";"PA1096:z:f075b4d6c1258898dc14b42dd41bfc05";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee01495138cb82341";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee014951300548241";"PA0775:z:8745b5191c50dbbee014951308654b41";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee01495130c495c34";"PA0819::958b368b987d32b4e1112cc68091c183";"2026/05";30.01.2026;30.01.2026;"VUA";"PA1096:z:f075b4d6c1258898dc14af2d703f4dfe";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee01495139cab3734";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee014951390499634";"PA0775:z:8745b5191c50dbbee01495130c495c34";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee014951314f95e33";"PA0819::958b368b987d32b4e1112cc68091c183";"2026/04";23.01.2026;23.01.2026;"VUA";"PA1096:z:f075b4d6c1258898dc14af2dc877e8af";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee0149513285a3a33";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee0149513bcf39833";"PA0775:z:8745b5191c50dbbee014951314f95e33";nein;"";"";"";nein
"100";"2000040";"";"CAB";"PA0775:z:8745b5191c50dbbee014951318b46b58";"PA0819::958b368b987d32b4e1112cc68091c183";"2026/15";07.04.2026;07.04.2026;"VUA";"PA1096:z:b22164bcb57d5aacdf14eb5e1ca4d856";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";500,000;0,000;"PA0777:z:8745b5191c50dbbee0149513e0094458";"";"PA0490::958b368b987d32b4e11131c636643305";"PA0887:z:8745b5191c50dbbee014951328a4a258";"PA0775:z:8745b5191c50dbbee014951318b46b58";nein;"";"";"";nein
