"Firma";"Wertgruppe";"MLM_StockValueGroup_Obj";"Teil ";"Var ";"S_Artikel_Obj";"Chargennummer ";"MC_Charge_Obj";"MMM_CusRefOrder_Obj";"Wert Mat var";"Wert Mat fix";"Wert Lohn var";"Wert Lohn fix";"Wert Masch var";"Wert Masch fix";"Wert BzgNKo var";"Wert BzgNKo fix";"Wert Zus 1 var";"Wert Zus 1 fix";"Wert Zus 2 var";"Wert Zus 2 fix";"DPr Material var";"DPr Material fix";"DPr Lohn var";"DPr Lohn fix";"DPr Masch var";"DPr Masch fix";"DPr BzgNebKo var";"DPr BzgNebKo fix";"DPr Zusatz 1 var";"DPr Zusatz 1 fix";"DPr Zusatz 2 var";"DPr Zusatz 2 fix";"lz Abgang";"lz Zugang";"EurK";"MLA_PartValue_Obj";"KommNr"
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2000040";"";"PA0490::958b368b987d32b4e11131c636643305";"";"";"";308,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,752099;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;01.09.2025;18.06.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e45cbf9154";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2000338";"";"PA0490::958b368b987d32b4e11131c606973b05";"";"";"";7,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,068902;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;01.09.2025;17.07.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e4ace43e56";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2000396";"";"PA0490::958b368b987d32b4e11131c66dd33d05";"";"";"";9.289,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,458000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;28.08.2025;26.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e432429e56";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2000605";"";"PA0490::958b368b987d32b4e11131c61db54805";"";"";"";1.177,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,154000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;01.09.2025;21.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e46ad31b58";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2000807";"";"PA0490::b79a8582a60eb6a9e311343bdad2055b";"";"";"";6.653,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,590028;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;29.08.2025;25.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e464acf859";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2000809";"";"PA0490::c9b5af88e5444799e311fc3beaf3855b";"";"";"";9.836,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,420000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;02.09.2025;18.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e466acf859";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2000900";"";"PA0490::afeac986bd758689e711cabf08dbdb51";"";"";"";370,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,641408;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;20.08.2025;13.05.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e46514e75a";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2400229";"";"PA0490::810d33551a42568ae4110485f090f146";"";"";"";9.247,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,418500;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;01.09.2025;26.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e480fb6b61";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2500484";"";"PA0490::f8eacc7693105e95e81163f8bf4ed659";"";"";"";536,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,370544;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;19.08.2025;03.06.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e48dab2565";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600073";"";"PA0490::958b368b987d32b4e11131c649327a05";"";"";"";4,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,026789;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;10.07.2025;17.04.2023;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e46d65e465";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600089";"";"PA0490::958b368b987d32b4e11131c6693d7b05";"";"";"";295,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,020203;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;28.08.2025;01.09.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e47d65e465";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600199";"";"PA0490::958b368b987d32b4e11131c617ab7e05";"";"";"";1.540,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,021948;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;02.09.2025;02.07.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e40426a366";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600298";"";"PA0490::958b368b987d32b4e11131c6418b8205";"";"";"";1.269,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,009394;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;01.09.2025;02.09.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e4372e3267";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600323";"";"PA0490::958b368b987d32b4e11131c6bdfd8205";"";"";"";278,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,031994;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;02.09.2025;29.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e4e5c36167";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600497";"";"PA0490::958b368b987d32b4e11131c69eac8505";"";"";"";248,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,006200;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;01.09.2025;01.09.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e4dfcbf067";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600517";"";"PA0490::958b368b987d32b4e11131c61a1f8605";"";"";"";345,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,020983;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;28.08.2025;20.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e44d792068";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600518";"";"PA0490::958b368b987d32b4e11131c61b1f8605";"";"";"";6.922,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,012733;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;29.08.2025;30.04.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e44e792068";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600609";"";"PA0490::958b368b987d32b4e11131c6ca009105";"";"";"";738,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,004841;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;02.09.2025;19.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e4a786af68";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600631";"";"PA0490::958b368b987d32b4e11131c6e90b9205";"";"";"";211,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,030413;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;29.08.2025;12.05.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e4bf35df68";""
"100";0;"PA2173:Ypdb:f7164d7c9795a5b45514b7e394e33161";"2600642";"";"PA0490::958b368b987d32b4e11131c68ea49205";"";"";"";394,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,026166;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;27.08.2025;21.08.2025;nein;"PA2214:Ypdb:f7164d7c9795a5b45514d7e4ca35df68";""
