Firma;Teil ;Var ;HBA;Origin_Obj;ML_Lagergruppe_Obj;Jahr;KW;Termin;Solltermin;BABf;Ref_Demand_Obj;BADk;Ref_Coverage_Obj;ML_Ort_Obj;Stre;S_Kostenstelle_Obj;Chargennummer ;Bedarfsmenge;Deckungsmenge;Document_Obj;S_Lieferant_Obj;S_Artikel_Obj;MMT_MRPAccount_Obj;Source_Obj;disp Struk;SubRefObj;MMM_CusRefOrder_Obj;KommNr;FKom
100;1300304;;CTV;PA0775:z:81927c082c1a47b3d5145d75189ea164;PA0819::958b368b987d32b4e1112cc68091c183;2025;4;22.01.2025;22.01.2025;CTV;PA0777:z:81927c082c1a47b3d5145d75d4497de9;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;16;0;PA0777:z:81927c082c1a47b3d5145c7504640aa5;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:81927c082c1a47b3d5145d75c0ee7376;PA0775:z:81927c082c1a47b3d5145d75189ea164;nein;;;;nein
100;1300304;;CTV;PA0775:z:81927c082c1a47b3d5145d7574ad9e38;PA0819::958b368b987d32b4e1112cc68091c183;2025;4;23.01.2025;23.01.2025;CTV;PA0777:z:81927c082c1a47b3d5145d756826d5df;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;48;0;PA0777:z:81927c082c1a47b3d5145c7584af0a9d;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:81927c082c1a47b3d5145d75c491434b;PA0775:z:81927c082c1a47b3d5145d7574ad9e38;nein;;;;nein
100;1300304;;CTV;PA0775:z:81927c082c1a47b3d5145d7578ed3a67;PA0819::958b368b987d32b4e1112cc68091c183;2025;4;22.01.2025;22.01.2025;CTV;PA0777:z:81927c082c1a47b3d5145d75d4497de9;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;48;0;PA0777:z:81927c082c1a47b3d5145c7504640aa5;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:81927c082c1a47b3d5145d75aca33a78;PA0775:z:81927c082c1a47b3d5145d7578ed3a67;nein;;;;nein
100;1300304;;CTV;PA0775:z:81927c082c1a47b3d5145d75b00b3f35;PA0819::958b368b987d32b4e1112cc68091c183;2025;4;23.01.2025;23.01.2025;CTV;PA0777:z:81927c082c1a47b3d5145d756826d5df;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;16;0;PA0777:z:81927c082c1a47b3d5145c7584af0a9d;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:81927c082c1a47b3d5145d7570e77f49;PA0775:z:81927c082c1a47b3d5145d75b00b3f35;nein;;;;nein
100;1300304;;PPA;PA0975:z:a34876cc78399498d1142796b136feb3;PA0819::958b368b987d32b4e1112cc68091c183;2025;10;07.03.2025;07.03.2025;U;PA1109:z:8ce9c3e5e090f690d1142d8d88214184;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;20;0;PA0961:z:a34876cc78399498d11427963d225f9f;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:be7c07195a0c4bb5d5142500204f4aa1;PA0975:z:a34876cc78399498d1142796b136feb3;nein;;;;nein
100;1300304;;PPA;PA0975:z:d2433b2b4a6ccf95cb149c2acc6eef75;PA0819::958b368b987d32b4e1112cc68091c183;2025;10;07.03.2025;07.03.2025;PPA;PA0961:z:d2433b2b4a6ccf95cb14972ab0c216e9;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;96;0;PA0961:z:d2433b2b4a6ccf95cb149b2af4d4e650;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:b341e2d60371f6b7d1149a9c201e9376;PA0975:z:d2433b2b4a6ccf95cb149c2acc6eef75;nein;;PA0899:z:9a85e0d6722d2f86b514844ed8cd6f0d;U-09206059-00;nein
100;1300304;;PPA;PA0975:z:83778bbf68583584cb142339c8497259;PA0819::958b368b987d32b4e1112cc68091c183;2025;11;12.03.2025;12.03.2025;PPA;PA0961:z:83778bbf68583584cb142039f058fdd0;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;96;0;PA0961:z:83778bbf68583584cb142239900ce9c1;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:97ae56de43e58f80d114849088f1e0be;PA0975:z:83778bbf68583584cb142339c8497259;nein;;PA0899:z:9a85e0d6722d2f86b514844ed8cd6f0d;U-09206059-00;nein
100;1300304;;PPA;PA0975:z:83778bbf68583584cb148139900d3bdd;PA0819::958b368b987d32b4e1112cc68091c183;2025;11;14.03.2025;14.03.2025;PPA;PA0961:z:83778bbf68583584cb147f39e4bd2055;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;96;0;PA0961:z:83778bbf68583584cb14813920ffbd33;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:ffdcd173baad3aa5d214950c54137474;PA0975:z:83778bbf68583584cb148139900d3bdd;nein;;PA0899:z:9a85e0d6722d2f86b514844ed8cd6f0d;U-09206059-00;nein
100;1300304;;PPA;PA0975:z:a34876cc78399498d1142796e3af1be3;PA0819::958b368b987d32b4e1112cc68091c183;2025;11;10.03.2025;10.03.2025;U;PA1109:z:8ce9c3e5e090f690d1142d8d88214184;;;PA0823::958b368b987d32b4e1112cc679eac983;nein;;;10;0;PA0961:z:a34876cc78399498d11427964492e3d9;;PA0490::958b368b987d32b4e11131c686822805;PA0887:z:be7c07195a0c4bb5d514250048de2fa5;PA0975:z:a34876cc78399498d1142796e3af1be3;nein;;;;nein
100;1503796;;CAB;PA0775:z:81927c082c1a47b3d5145475e40bd32a;PA0819::958b368b987d32b4e1112cc68091c183;2025;12;17.03.2025;17.03.2025;VUA;PA1096:z:cf3326fe288287a7d3145392f0e0ecdd;;;PA0823::98ca40e8881b788fe61103bbb6dfb806;nein;;;135;0;PA0777:z:81927c082c1a47b3d51454750c09222a;;PA0490:z:fdfd493e327c549e5914e02624bcc8d3;PA0887:z:81927c082c1a47b3d5145475d4724d2c;PA0775:z:81927c082c1a47b3d5145475e40bd32a;nein;VUA-00722444|1503796||0;;;nein
