"Firma";"Teil ";"Var ";"HBA";"Origin_Obj";"ML_Lagergruppe_Obj";"Jahr/KW";"Termin";"Solltermin";"BABf";"Ref_Demand_Obj";"BADk";"Ref_Coverage_Obj";"ML_Ort_Obj";"Stre";"S_Kostenstelle_Obj";"Chargennummer ";"Bedarfsmenge";"Deckungsmenge";"Document_Obj";"S_Lieferant_Obj";"S_Artikel_Obj";"MMT_MRPAccount_Obj";"Source_Obj";"disp Struk";"SubRefObj";"MMM_CusRefOrder_Obj";"KommNr";"FKom"
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145135a008f0b3";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/33";13.08.2025;13.08.2025;"VUA";"PA1096:z:de6b1cc8e1df2cb7da146b75f40d0bc9";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145135145dc8b3";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145135cc2a33b4";"PA0775:z:a3458cc355df7d8bdc145135a008f0b3";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145135c4e284b2";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/29";15.07.2025;15.07.2025;"VUA";"PA1096:z:de6b1cc8e1df2cb7da146a759c4c44f0";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145135544826b2";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc14513524cbf5b2";"PA0775:z:a3458cc355df7d8bdc145135c4e284b2";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145135ec5050b0";"PA0819::958b368b987d32b4e1112cc68091c183";"2026/09";26.02.2026;26.02.2026;"VUA";"PA1096:z:de6b1cc8e1df2cb7da146675701ba915";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";100,000;0,000;"PA0777:z:a3458cc355df7d8bdc1451353c7d1fb0";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145135580b9db0";"PA0775:z:a3458cc355df7d8bdc145135ec5050b0";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145135fcf0c2b5";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/37";12.09.2025;12.09.2025;"VUA";"PA1096:z:de6b1cc8e1df2cb7da146c759c986a5e";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145135dce30eb5";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145135300903b6";"PA0775:z:a3458cc355df7d8bdc145135fcf0c2b5";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145735043d57fe";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/42";14.10.2025;14.10.2025;"VUA";"PA1096:z:955ae011c4bd29b4ce142e9e986b5fe8";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc1457353c9644fd";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145735d475dafe";"PA0775:z:a3458cc355df7d8bdc145735043d57fe";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc14573524149ef7";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/36";05.09.2025;05.09.2025;"VUA";"PA1096:z:b164adf09a1db8bab6149b1af0ce5f34";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145735246976f7";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc14573550f5d1f7";"PA0775:z:a3458cc355df7d8bdc14573524149ef7";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc14573558f06df9";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/40";03.10.2025;03.10.2025;"VUA";"PA1096:z:b164adf09a1db8bab6149c1a2c63750c";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145735945d4cf9";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc14573518c39ef9";"PA0775:z:a3458cc355df7d8bdc14573558f06df9";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc14573570104dfb";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/39";26.09.2025;26.09.2025;"VUA";"PA1096:z:81a2e0dd57246580c114d5899493d299";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145735747e2bfb";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc1457358cf280fb";"PA0775:z:a3458cc355df7d8bdc14573570104dfb";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc1457358ca75df6";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/34";22.08.2025;22.08.2025;"VUA";"PA1096:z:b164adf09a1db8bab6149a1ae477165a";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc1457351c163cf6";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc14573564c5daf6";"PA0775:z:a3458cc355df7d8bdc1457358ca75df6";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145735a4fb5bfa";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/31";01.08.2025;01.08.2025;"VUA";"PA1096:z:81a2e0dd57246580c114d389d845129d";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145735085d37fa";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145735e0cf8cfa";"PA0775:z:a3458cc355df7d8bdc145735a4fb5bfa";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145735ac2fb6ff";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/41";08.10.2025;08.10.2025;"VUA";"PA1096:z:d307a50409865f8fd214e06b000104d7";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145735249191ff";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc1457353403e7ff";"PA0775:z:a3458cc355df7d8bdc145735ac2fb6ff";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145735d8db68fc";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/28";09.07.2025;09.07.2025;"VUA";"PA1096:z:955ae011c4bd29b4ce142d9e4ca4452b";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145735b4b71ffc";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc14573558ca9ffc";"PA0775:z:a3458cc355df7d8bdc145735d8db68fc";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145735fc0e89f8";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/38";19.09.2025;19.09.2025;"VUA";"PA1096:z:b164adf09a1db8bab6149b1aec1690a1";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc1457352c7e67f8";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145735d4e2b9f8";"PA0775:z:a3458cc355df7d8bdc145735fc0e89f8";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc14583508d68c03";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/34";20.08.2025;20.08.2025;"VUA";"PA1096:z:9c99ed62f3046390d4144bdf641ce06d";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc14583574346803";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145835f8c2c303";"PA0775:z:a3458cc355df7d8bdc14583508d68c03";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc14583544394105";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/37";09.09.2025;09.09.2025;"VUA";"PA1096:z:de6b1cc8e1df2cb7da14947598da0df5";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc14583580736204";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145835800d7205";"PA0775:z:a3458cc355df7d8bdc14583544394105";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145835d45fad00";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/29";16.07.2025;16.07.2025;"VUA";"PA1096:z:9c99ed62f3046390d41449df3479518b";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc14583510c18800";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc1458350c33de00";"PA0775:z:a3458cc355df7d8bdc145835d45fad00";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145835e48ea401";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/30";22.07.2025;22.07.2025;"VUA";"PA1096:z:9c99ed62f3046390d41449dfe83c89ea";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc145835e8138001";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc145835507ddb01";"PA0775:z:a3458cc355df7d8bdc145835e48ea401";nein;"";"";"";nein
"100";"2000004";"";"CAB";"PA0775:z:a3458cc355df7d8bdc145835e8bf9b02";"PA0819::958b368b987d32b4e1112cc68091c183";"2025/33";12.08.2025;12.08.2025;"VUA";"PA1096:z:9c99ed62f3046390d4144adf08d429ba";"";"";"PA0823::958b368b987d32b4e1112cc679eac983";nein;"";"";2.500,000;0,000;"PA0777:z:a3458cc355df7d8bdc1458352c327702";"";"PA0490::958b368b987d32b4e11131c6ee323205";"PA0887:z:a3458cc355df7d8bdc14583588a0cf02";"PA0775:z:a3458cc355df7d8bdc145835e8bf9b02";nein;"";"";"";nein
